	mes	rating
0	Купил аппарат в ДНС. На вид крепкий, водонепроницаемый. не тяжёлый , но это только наверное благодаря  не очень ёмкой батареи 2000мА.	0
1	Мой третий LG.Честно не повезло. Грешу на сборку или брак. Две самые беды. Всегда радовался разговорным функциям LG смартов, в этом динамик подводит. Говорят постоянно заикаюсь и пропадаю, даже с отличным приемом сети. А если пользоваться лежа так это вообще 100% так будет. Второе это появились...	0
2	Аппарат, из-за которого решил больше не покупать Samsung. Ожидал, что будет плоская версия, батарея 4000+ и вариант с 256Gb памяти на борту.	0
3	при захлопывании задней крышки телефон зависает на глухо	0
4	Месяц разочарования пользования этим смартом, хорошо брал на распродаже на Ali за 15 т.р. поэтому смог продать за эти же деньги за минус 200 руб. Камера для Самсунга за 20000 просто ужас, калькулятор лучше снимает, сканер отпечатка живет своей жизнью, хочу пущу к смарту хочу нет. Прием связи тоже не...	0
5	Купил супруге на замену Samsung Galaxy s lll. Проигрывает ему по многим параметрам,не смотря на более свежий Андройд. Ожидалось больше от этого аппарата.	0
6	У меня сломался через 1 год и 4 месяца использования. перестал видеть симкарту. еще минус в том, что мало памяти встроенной, и программ много не закачаешь, так как не все программы могут сохраняться на флеш-карте. Быстро переполняется память , приходится чистить почти каждый день, чтобы обновления...	0
7	Телефон на один раз.	0
8	ОГРОМНЫЙ недостаток модели - батарея, вздулась и замену в РФ не найти, представительство Кенекси в России хранит гордое молчание на многочисленные жалобы на АКБ для модели Шторм. При этом смартфон выпускается и продается, будьте внимательны, многие пользователи Кенекси Шторм в результате имеют...	0
9	Аппарат как аппарат, работает на 4, все было хорошо пока был новый. Спустя несколько обновлений начал тормозить. И от этого не убежать на любом аппарате	0
10	Муж с дури подарок сделал - самую последнюю модель: аппарат, фирменный чехол, стекло + его наклейка = 25 тыс. Итог: на второй день заметили бензиновын разводы на экране, обратились в магазин, предположив дефект наклейки стекла, где нам ответили, что эти аппараты все такие и на каждом под...	0
11	Брать не стоит, лучше что нибудь подороже на пару тысяч, чем этот хлам.	0
12	Удручающее. Деньги на ветер	0
13	Тройка с жирным минусом, и это только за то, что я фанат сони.	0
14	Брал для работы ,через 2 недели стал отключатся сам по себе еще через пару дней перестал отправлять смс. Телефон на месяц.	0
15	телефон на 2 года.	0
16	убил за пару месяцев,  до этого был эксплей инфинити, китаец,  работал на много круче и был просто не убиваемый... жаль потерял	0
17	Телефон купили случайно. Пришли за самсунгом мне, но пока ждали консультанта, увидели на витрине ЕГО... Муж, ярый поклонник нокии (пока виндой не испортили) сразу же загорелся. А узнав что он на андроиде, остановить его было невозможно. Ну и цена была такая же. Решили купить мужу сие чудо, а мне по...	0
18	Такое г....я еще не встречал,купили с другом на пару два телефона этой марки.Через неделю у обоих телефон стал жить своей жизнью!! Самопроизвольно перезагружается,перед началом разговора может отключится!!Отклик на нажатие совершенно деревянный,никакой чувствительности,камера конечно же...	0
19	Неисправен - не видит сим-карту, камера 1,3 мп  вместо обещаных  5мп. подсветка кнопок на 50% не светится.	0
20	"купил в ""Связном"" перед закрытием салона и уже на следующий день понес что бы обменяли на аналогичный или дороже.,  отказали .заявили.на нем  следы от эксплуатации!! телефон дерьмо и Связной тоже. не стал нервы портить , будет игрушка внучке."	0
21	Это не телефон,это полный шлак!!!!!!Когда его ставишь на зарядку,зарядка уменьшается вплоть до полной разрядки!!!!!И если всё таки посчастливилось его зарядить до 100%,как только отключаешь его от зарядки,моментально появляется значение 92%,а если через 10 минут на него посмотреть,зарядка уже будет...	0
22	Взять можно.Приятно вроде и экран большой.Но надо его или шить или под Айфон делать.Бесполезный софт.Плохо,что одна сим-ка.Не позвонят тебе,только сам с второй.Это надо переключаться.Я с дуру взял после Кенекси.Там звонки с любой сим-ки и приём и там красиво всё.Не знал,что бывают односимочные.	0
23	Пользовалась 2 года. Первый год не было никаких недостатков, потом начал лагать, выключаться сам по себе и главное, что иногда выключался потому что села батарея, а когда ставила на зарядку показывал 100%... Не устраивает то, что почти никакие чехлы не закрывают низ и верх, углы отламывались....	0
24	Очень расстроила батарея (При активном использовании телефона: прослушивание музыки, соцсети - хватает часов на 8 до полной разрядки). Размер телефона - на любителя, но все же, не очень комфортно. Сильно нагревается при использовании. Нечеткий звук в динамике (приходится переспрашивать собеседника)....	0
25	В целом неплохой шустрый кнопочный телефон за свои деньги. Неплохо бы EDGE , оперу мини вместо крякозябрового браузера времён Сименса а55, java и больше памяти или возможность ставить приложения на флешку.Экран можно было 2.4 сделать ну максимум 2.6. Судя по тому что в отличии от примерно такого же...	0
26	Телефон на троечку, аккумулятор хороший, вот и всё, мне больше и не надо.	0
27	Купился на рекламу, изначально хотел DEXP Ixion M140 Inspire на МТК, но сказали, что его больше не будет. Не знаю, может если в него SC7731G - частота 1,3 гц, видео Mali-400MP2 - поставят лучше будет? А по мне так правильнее МТК-процессор поставить.	0
28	Если бы не аккумулятор то нормальный для своей цены	0
29	Только для звонков и на крепкие нервы.	0
30	я брал xperia только за камеру,(23мп).  Оказалось,это не МП а что-то связанное с цветом.А мегопикселей всего 8.пло	0
31	Телефон на 3Прошёл ровно год с покупки Дуги и он у меня сгорел =))))) просто перестал включаться. В ремонте сказали, что сгорела внутренняя память и чтоб починить нужно найти донораПродал его на запчасти за 1500, а брал за 5000Ну на 3500 он наработал в общем	0
32	Два года поработал и села батарея. Мало того,что самим не заменить - блок, так и батареи нет в наличии. На выброс	0
33	Купите автошину и наденьте на телефон, поможет. Все остальное - хорошо. Привет Самсунгу! Хотя это не первая модель (и ранее телефоны падали), но такие деньги за ремонт - это что-то. Аккуратнее, а то...	0
34	Не рекомендую, батарея полностью разряжается за несколько часов, причем  использую только для разговоров. В командировку поехала и спасалась автомобильным зарядным устройством.	0
35	Экран крутой, смотреть фильмы и играть в игры очень удобно. Фото снятые на S8 почему то по другому смотрятся на компьютере и iOS (цвета вообще разные) Снятые на iPhone на S8 выглядят так же.  Яркий, сочный аппарат. Задняя панель старая, брать для понтов смысла нет.  Я ждал вторую камеру,...	0
36	Одно разочарование. Для ежедневного использованию вообще не подходящий смартфон, разве что для понты (из-за 3 ГБ оперативки и памяти на 32 ГБ). АКБ на нервах играет так как быстро разряжается, очень жалею что купил.	0
37	Очень, очень плохой аппарат. Батарея? Смех. Не важно какая батарея, а важно сколько он потребляет. Так вот. Батареи хватает на 2 суток. Вес чудовищен. Глючит. Очень слабое стекло. Андроид мега обрезан. На зарядке перегревается (хоть прикуривай). Покупал 2 (себе и жене). Через 6 мес. сдохли оба. Без...	0
38	Короче в остальном норм телефон. Если вам нужен головняк смело берите . Как доказательство хотел все это снять на видео чтоб открыть людям глаза	0
39	может мне не повезло с конкретной единицей...не знаю Но китайфоны в полцены от этого работали в итоге дольше и лучше Сотрудники салона офигели что я его принес через 2 недели и долго заряжали и мацали - не могли поверить что он стал кирпичем	0
40	Самый большой минус, экран, нежнейшее вещество, что я когда-либо встречал на этой планете, замена которого стоит от 4-5 тыс. руб. Чуть положишь не так в карман, все треснет.	0
41	Note3? Решили  дать старым флагманам вторую жизнь? Заменив индекс S на А?, При  этом упростив их. Вполне бюджетное решение для производителя, не заморачиваясь с новыми разработками.	0
42	после 1.3  месяца на свалку. Хлам!	0
43	IPhone 7 plus 128 gb. Покупала телефон на долгий период. Но начинаю понимать, что с такими неприятными минусами долго не вытерпишь. Что-то не значительное смогут исправить в следующих обновлениях, а что-то останеться по прежнему. Скорей всего, со временем придеться продать его и попробовать следущую...	0
44	телефон тянет на тройку	0
45	Если брать в основном для лазанья в сети,то ещё подойдет.Если же для всего, лучше взять что-то другое.	0
46	В целом на троечку.	0
47	"Очень пожалел,что не потратил чуть больше денег и не приобрёл нормальный смартфон потому как потратил кучу нервов с этим китайским ""чудом"".Крайне не рекомендую и вообще не понимаю отзывов ниже,которые хвалят это."	0
48	тормозит, тупит, быстро разряжается, невозможно перенести загруженные приложения на дополнительную карту памяти, идиотское меню, задолбало что приглушает цвет экрана постоянно, опа гавнаста - леновы, хуелы и т.п. китайкие гавнасты... сравниваю с Самсунгом, LG, HTC стоимостью от 11 000 руб...	0
49	Если использовать телефон только для звонков - рекомендую. Для других целей (соцсети, игры) - подберите что-нибудь получше.	0
50	во время гарантии ломался 3 раза а четвертый сразу по окончании гарантии, занес в мастерскую и там сказали что ремонту не подлежит ,И это при том что телефон не падал не тонул, Ужасный телефон даже за такие деньги, Если не жаль выбросить деньги на ветер - можно покупать,	0
51	Экран конечно на высоте,фото получаются неплохо ,батарея при умеренном использовании держит день.Но самое большое разочарование это встроенная память. Я не знаю что компания Самсунг напихала в телефон,но памяти остался один гигабайт.До этого у меня было два телефона с 8 гигант встроенной памяти , но...	0
52	Ужс. Хочу быстрее забыть этот сотик. Пробовал поставить свою мелодию на звонки-не ставится, быстро разряжается, чуть не умер от скуки с этим сотиком ведь игры он не поддерживает. Этот мобильник порекомендую бабушкам или детям до 6 лет, им больно фоткать и не нужно. Мне лично в школе сказали сфотать...	0
53	в теории отличный смартфон, на практике не очень.	0
54	Навигатор вообще не работает, на второй день после покупки перестали доходить звонки. 43 дня пролежал в сервисе. Сказали поменяли материнскую плату. Прочитал отзывы в нете, на навигатор жалобы у всех	0
55	В общем не плохой телефон, если не принципиально отсутствие возможности ставить Разную музыку на разные контакты.	0
56	Телефон УЖАСНЫЙ,я пожалел что купил ее,и выкинул просто так на неё деньги,больше даже не притронусь к LENOVO никогда в жизни,лучше будет купить другой китайский бренд... в общем не берите , пожалеете...	0
57	так и не смог продать ни через руки ни через авито, подарил на день рождения. Купил на али сяоми ми5, так просто земля и небо, радует безотказной работой и отличным качеством	0
58	Разочарована на все 100!	0
59	Так минусы.1)эта батарея,она не очем,в день можно заряжать как минимум два раза и это притом что я,не слушаю муз,не играю и в сетях не сижу часами и притом что от ключины программы,2)это блютуз,как можно было сделать так что можно перекидывать с айфона на айфон или подключать к компу,а если мне надо...	0
60	"Реально  хватает батареи на ""длительность всех вызовов"" на 90 минут, в режиме ожидания наверное тоже лгут."	0
61	Попал мне случайно (на халяву), пользуюсь год. Плюсы - звонит, и СМС отправляет, Интернет есть, радио и музпроигрыатель. При слабой работе заряда хватает на 2-3 дня. Минусы - 1. до этого у меня были Нокия, на этом до сих пор не могу толком понять и запомнить как что менять,...	0
62	Через полтора месяца владения стал уходить в спящий режим, в итоге был сдан по гарантии. В целом не смотря на это впечатления о телефоне положительные. Не плохой аппарат за свои деньги, если бы не этот нюанс с уходом в спящий режим, то пользовался бы и по сей день	0
