как звонилка в норме ..фото для себя норма не искал но наверное есть ..хотя сразу не понравился встроенный аккумулятор... полтора года и погас ..потом начал греться сам по себе ...и завонял ...я так понял ..что он отвонялся ...и нельзя аккумулятор вытащить ..,3.0
"Приятная на ощупь крышка, прочный Батарея, нет root прав, плохой звук  —",3.0
"Проходила с ним уже почти полтора года. Поначалу был во всем хорош. Удобный размер под мою руку,приятный дизайн,работал быстро,не глючил, не нагревался, картинка хорошая. Порадовала при покупке гарантия на 2 года. В комплекте шли наушники, но их можно сразу выкинуть.
Огромный плюс это 2 сим-карты с легким переключением между ними,правда очень удобно. Ну и цена, при покупке в декабре 2014г. была чуть более 5000 рублей.
Живуч - после падений и неоднократных пострадала только фронтальная камера, но меня это не огорчило вовсе. Очень слабая батарея, и если по началу было еще ничего,то через год держать стала еще хуже, при активном использовании (музыка,интернет серфинг,открытые приложения) садиться за ~5 часов. После 15% батарея изначально не держала, при преодолении этого порога просто выключается за мин 5. Очень слабая оперативка и это сказывается все больше со временем в виде постоянных зависаний экрана,приложений и т.д. Бывали случаи непроизвольного отключения, в какой-то день он сутки пролежал бездыханно - собиралась уже ехать в сервис по гарантии,но он просто перед самым выходом включился. 
Камера - основная без нареканий, хоть и 5мп,но добротные,снимки хорошие,а вот фронтальную можно было вообще не делать - от этих 0,3мп толку нет.
Иногда,после перезагрузки пропадают иконки с экрана,поначалу приходилось переносить из меню,сейчас поняла,что если после перезагрузки не трогать его мин 2,то все само появится в нормальном виде,не знаю с чем это связано.
К сожалению,на него нет официального обновления системы до 5.1,пришлось ставить неофициальную,после переустановки был как новенький,без глюков,но потом все снова вернулось на круги своя,к сожалению. В целом, хоть минусов у меня вышло и больше, однако телефон не плох для тех,кому дорогие телефоны противопоказаны (руки-крюки у меня,умудряюсь разбить телефон даже в чехле). Года 1,5 он точно вам послужит.",3.0
"ни чего 1 тачскрин плохо работает через пол года
2 динамик
3 батарея нереально маленькая
4 хлипкий очень если сесть на него случайно ему капец точно весь рассыпится
5 пишут 4 ядра 4 гига в итоги тупит нереально хоть в бенчмарке 20000 выдает и 2 гб доступно я перекрестился и продал его 
хуже телефона не было",1.0
"Дешевый, красивый, легкий. Телефон полностью не оправдал ожиданий, шайтан-труба какая-то, а не телефон. 
1) Характеристики слабые. Периодически зависает
2) Динамик сдох через полгода, и это я музыку не слушала, только изредка смотрела ютуб. По гарантии не понесла менять, т.к. не было другой трубки на замену, а в сервисе 20 дней ждать. Так и пользовалась в режиме вибрации вместо звука. 
3) Батарейка очень слабая, но это и видно по описанию. И не съемная, значит запасную с собой не поносишь. Сплошная беготня к розетке. Если телефоном пользоваться - разговаривать, смотреть в инете что-то, то будет хватать на пару часов при настройках яркости на минимуме. Вайфай включенным не подержишь, сразу разряжается. Пару раз просыпала на работу из-за севшей батарейки - будильник не прозвонил. Не совсем недостаток телефона, скорей моя оплошность, но после первого же случайного падения на асфальт экран треснул, пришлось менять. Со старой доброй Нокией 5800 такие фокусы проходили без проблем, а этот слишком нежный. После замены экрана он упал снова (дети маленькие, не уследишь) - опять треснул. В один прекрасный день дети его спрятали, а батарейка как всегда быстро села, уже месяц как не могу его найти. Даже не расстроилась, купила новый телефон другой марки с батарейкой 5200 мА/ч, а fly больше не куплю. Можно покупать такой телефон только если кроме звонков никаких его возможностей не использовать. Никакого интернета, ватсапа, соцсетей и мультимедиа.. Но с тем же успехом можно взять для звонков телефон попроще.
Покупать крайне не рекомендую, лучше подкопить денег на что-то хорошее, или взять в кредит или в уценке, а этому срок использования - полгода, потом бежать за новым или нести в ремонт. У подруги был такой же, тоже долго не прожил.",2.0
"обычная бюджетная модель. Совсем обычная: экран, камера, звук, система. Тачскрин, кнопки блокирования и громкости очень чувствительные. Батарея не съемная Поначалу я его возненавидела: глючил постоянно, разблокировался карманом, звонил кому попало. После двух с лишним месяцев настройки и ""обработки напильником"" наконец-то работает так, как мне удобно, но это уже не покупная модель, а мое кустарное производство.
Покупать не советую, особенно тем, кому нужна стабильная работа со стандартными функциями и кто при этом не готов провести довольно много времени, доводя модель до ума",3.0
"Неплохой дешёвый смартфон буквально после полугода начал тормозить виснуть , иногда не откликается на прикосновения. в меру того что он дешёвый работает не плохо.но лучше подкупить по больше и купить нормальный",3.0
"цена  за такой смартфон  приемлимая . Камера Отвратительно  держит батарею  несколько минут игры = 10  процентов  примерно снимает .И может  7 процентов и более  за час снять. Краска на крышке быстро  облупилась .Памяти маловато .Как первый смартфон подойдет .(собственно моя ситуация ) .Обновления  до  новых версий  android не приходит .ОЧЕНЬ маркий  экран .Иногда  подлагивает в возрасте . Как первый смартфон -подойдет  , но  как смартфон для опытных пользователей  и  для  серьезных игр -обходите стороной  его .Собственно что я и сделаю в следующий  раз.",3.0
"тонкий, неплохой размер экрана, есть возможность переносить приложения и игры на SD карту 1. батарея ужасно слабая, еще минус в том, что это батарея от Fly, а значит она непредсказуемая, уходит в ноль процентов с 20 моментом, и это мне еще повезло, у знакомых планшет просто вырубается при 85 процентах  зарядки
2. глючит очень часто - и вызовы, и клавиатура, и увеличение экрана
3. теперь об экране, с какого-то перепугу тут кто-то  в отзывах написал о сочном ярком экране IPS, так вот, там голимый TFT, причем на улице даже без солнца людям с подсевшим зрением на таком экране не увидеть ничего, а мне с моим стопроцентным приходилось напрягаться
4. давно понял, что никакая привлекательная цена не смирит с недостатками - заплати на пару тысяч больше, подбери параметры под  себя и наслаждайся, а не мучайся, утешая себя ""привлекательностью цены""  —",2.0
"Телефон привлек своим дизайном и довольно таки низкой ценой. Среди достоинств аппарата:
1) Повторюсь, низкая цена
2) Хорошая ударопрочность (падал раз 5 на кафель, видимых повреждений выявлено не было)
3) Легкость, удобно держать в руке - тонкий, красивый. 
4) Поддержка двух SIM-карт (микро SIM) 1) Камера (задняя) может и неплохая, но ориентирована на количество снимков, а не на их качество; иными словами, красивых фотографий на нее вы не сделаете, качество на 4 с минусом. Про переднюю не стоит даже говорить - ее даже как зеркало не поиспользовать (девушки поймут)
2) Жуткие проблемы с батареей. Сидишь себе в интернете, никого не трогаешь, батарея около 30%. И раз - телефон выключается. Ты в недоумении, что произошло; подключаешь зарядник, и телефон благополучно информирует тебя, что зарядка на нуле. А ведь 3 минуты назад удтверждал, что ее предостаточно. Плюс, при появлении банера ""осталось 15%"" эти проценты зарядки уходят буквально посекундно, и через 1-2 минуты телефон выключается
3) Слабое качество звука в наушниках
4) Были проблемы с динамиком
5) Частенько ""вылетали"" приложения
6) Периодечески вылезали мелкие лаги, например, не закрывается клавиатура, пока телефон не перезагрузишь (началось где-то через 8-9 месяцев использования) 
7) Несъемный аккомулятор Поначалу телефон работал довольно таки хорошо, первые полгода точно. Но потом все сильнее и сильнее стали проявляться пункты 2, 5 и 6 из графы ""Недостатки"". В итоге, телефон я благополучно (но случайно) искупала в тазу, и восстановлению он уже не подлежит. Не жалею, жалею лишь о потраченных деньгах.",2.0
"Дизайн, экран Глючит очень часто, слабая батарея, звук После 2 месяцев использования (не роняла, не била, был постоянно в чехле) начал сильно глючить: многие игры с трудом включались, очень долго думает над действием (нажимаю домашнюю страницу - открывает через секунд 7-8). Звук скачет через динамик: то звучит нормально, то резко становится тихим. С недавнего времени после общения появляется клавиатура, которая убирается только через набиваения ссылки в браузере.",2.0
"быстрый процессор, тонкий, плохое качество в свое время купил для дела, 4 штуки. Стоил 4500 каждый, было вроде нормально. Сам аппарат как звонилка брался плюс фб, месенджеры, и вполне по мощности годился для этих целей. Аккумулятор несъёмный и это говорит видимо о том, что девайс изначально одноразовый.
Практически все 4 стали погибать через год использования. Интенсивность юзания не имеет  значения, лучше всего себя ведет аппарат весь покопанный и с трещинами по корпусу. Клава не работает, не реагирует ни на что, не включается, не выключается, врубается вибрация и никак ее не убрать пока не сядет аккумулятор. Микрофоны изначально работали так себе, звук в динамиках очень тихий
В антуту выбивает около 18000, причем не каждый может прокрутить до конца тест(два аппарата из четырех перезагружались), экран реагирует на 2 пальца, батарейка слаба изначально, подзаряд нужен хотя бы раз в день.
Одним словом, для серьезного использования не годится. Но на время ребенку подойдет, он легкий и тонкий. А так несусветно паршивая машинка",2.0
